name,diameter,red
orange,2.96,172
orange,3.91,166
orange,4.42,156
orange,4.47,163
orange,4.48,161
orange,4.59,142
orange,4.64,156
orange,4.65,142
orange,4.68,159
orange,4.69,161
orange,4.73,148
orange,4.74,166
orange,4.75,166
orange,4.77,166
orange,4.78,170
orange,4.82,162
orange,4.85,166
orange,4.91,151
orange,4.97,168
orange,5.02,179
orange,5.02,162
orange,5.08,156
orange,5.1,169
orange,5.11,146
orange,5.15,154
orange,5.16,168
orange,5.22,162
orange,5.22,161
orange,5.24,153
orange,5.24,157
orange,5.25,155
orange,5.26,155
orange,5.3,171
orange,5.3,159
orange,5.3,162
orange,5.32,145
orange,5.34,173
orange,5.35,158
orange,5.36,164
orange,5.37,178
orange,5.37,177
orange,5.37,171
orange,5.38,163
orange,5.4,148
orange,5.43,157
orange,5.45,145
orange,5.47,162
orange,5.47,170
orange,5.48,165
orange,5.48,146
orange,5.48,167
orange,5.48,128
orange,5.49,177
orange,5.51,150
orange,5.51,165
orange,5.51,157
orange,5.52,140
orange,5.53,169
orange,5.53,150
orange,5.57,145
orange,5.57,159
orange,5.58,160
orange,5.59,168
orange,5.6,167
orange,5.6,171
orange,5.61,165
orange,5.61,158
orange,5.61,167
orange,5.63,161
orange,5.65,138
orange,5.65,155
orange,5.65,158
orange,5.65,154
orange,5.66,163
orange,5.66,164
orange,5.67,165
orange,5.67,150
orange,5.68,137
orange,5.69,164
orange,5.71,168
orange,5.71,151
orange,5.71,154
orange,5.71,156
orange,5.72,164
orange,5.72,141
orange,5.73,169
orange,5.73,163
orange,5.73,155
orange,5.73,151
orange,5.73,156
orange,5.74,149
orange,5.76,168
orange,5.76,146
orange,5.77,150
orange,5.77,142
orange,5.77,163
orange,5.79,150
orange,5.79,144
orange,5.8,139
orange,5.8,165
orange,5.8,142
orange,5.8,165
orange,5.8,143
orange,5.81,161
orange,5.83,173
orange,5.84,152
orange,5.84,160
orange,5.84,161
orange,5.85,158
orange,5.86,138
orange,5.86,147
orange,5.87,168
orange,5.87,160
orange,5.88,154
orange,5.89,153
orange,5.91,163
orange,5.91,153
orange,5.92,171
orange,5.93,155
orange,5.94,156
orange,5.94,144
orange,5.95,157
orange,5.95,180
orange,5.95,169
orange,5.96,154
orange,5.97,149
orange,5.98,156
orange,5.98,163
orange,5.99,157
orange,5.99,143
orange,5.99,166
orange,6,163
orange,6,163
orange,6,153
orange,6.01,169
orange,6.01,154
orange,6.02,160
orange,6.03,151
orange,6.03,158
orange,6.03,149
orange,6.04,151
orange,6.04,156
orange,6.04,140
orange,6.04,160
orange,6.04,150
orange,6.05,167
orange,6.05,156
orange,6.06,170
orange,6.06,164
orange,6.06,142
orange,6.06,155
orange,6.07,152
orange,6.07,143
orange,6.08,165
orange,6.09,161
orange,6.09,167
orange,6.1,160
orange,6.1,151
orange,6.11,168
orange,6.11,167
orange,6.11,147
orange,6.11,162
orange,6.11,163
orange,6.12,174
orange,6.14,173
orange,6.14,165
orange,6.14,159
orange,6.14,158
orange,6.14,151
orange,6.14,159
orange,6.15,154
orange,6.16,151
orange,6.16,176
orange,6.16,163
